Link,Description
https://dte.rajasthan.gov.in/assets/docs/Admission/Graduate/Calender%20(Admission%202023-24).pdf,Calender for Graduate Course (Non Engineering First Year)Direct Admission (Re-Open)
https://dte.rajasthan.gov.in/assets/docs/Admission/vacant seats (1).pdf,Tentative Vacant Seats for Direct Admission (Admission 2023-24)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Polytechnic Transfer New.pdf,Transfer List (Gazetted)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Gazastted 2.pdf,Transfer List (Gazetted)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Gazastted 1.pdf,Transfer List (Gazetted)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Non-gazastted DTE.pdf,Transfer List (Non-Gazetted)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/TETransfer13.1.23.pdf,Transfer List (TE)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/NG%20(1).pdf,Transfer List (Non-Gazetted)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Transfer%20list.pdf,Transfer List (Non-Gazetted)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/transfer%20order.pdf,Transfer Order Lecturer(Electrical)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Transfer Order (Gazetted).pdf,Transfer Order (Gazetted)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Transfer Order (Non-Gazetted).PDF,Transfer Order (Non-Gazetted)
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/transfer order 1.pdf,Transfer Orders-1
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/transfer order 2.pdf,Transfer Orders-2
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/transfer order 3.pdf,Transfer Orders-3
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/transfer order 4.pdf,Transfer Orders-4
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer.pdf,Application For Transfer
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Order_29-10-19.pdf,Gazetted Officer's Transfer Order
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Corrg_GZorder29092019.pdf,Corrigendum of Gazetted Officers Order
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/NG_order_29092019.pdf,Non Gazetted Staff Transfer Order
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Order_29092019.pdf,Gazetted Officer's Transfer Order
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Trans_082019.pdf,Lecturer (Electronics) Transfer Order
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/order_090319.pdf,Lecturer Transfer Orders-1
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/cori_080319.pdf,Corrigendum Transfer Orders
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/order_100319.pdf,Lecturer Transfer Orders
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Transfer_order/Order_080319.pdf,Officer's - Various Transfer Orders
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Jr Asst.(Non TSP).pdf,Provisional Seniority List of Jr. Assistant (Non-TSP)as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/prov. Sr Asst.pdf,Provisional Seniority List of Sr. Assistant as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Technician.pdf,Provisional Seniority List of Technician as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Draftman.pdf,Final Seniority List of Draftmen as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/7041-45.pdf,Final Seniority List of Asst. Administrative Officer as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/6578.pdf,Seniority List of Asst. Administrative Officer as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/6014.pdf,Seniority List of Lab Assistant as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/P.Asst.Final%202024.pdf,Final Seniority List of Personal Assistant Grade- II as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Final%20Add%20Admimistration%20Officer%202024.pdf,Final Seniority List of  Additional Aministration Officer as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Admin%20officer%202024.pdf,Final Seniority List of Administration Officer as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Seniority%20List%202024.pdf,Provisional Seniority List of Principal/Joint Director as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Personal%20ASSt.%20Grd-I%202024.pdf,Final Seniority List of Personal Assistant Grade- I as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Addi.%20Private%20Secretary%202024.pdf,Final Seniority List of Additional Private Secretary as on 01.04.2024
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Sr_list/Esst.%20Officer%202024.pdf,Final Seniority List of Establishment  Officer as on 01.04.2024
